Individual,Pop,habitat,PopColor,pch
AFMGD6799H,GD,deep,#238b45,24
AFMGD6801H,GD,deep,#238b45,24
AFMGD6802H,GD,deep,#238b45,24
AFMGD6803H,GD,deep,#238b45,24
AFMGD6804H,GD,deep,#238b45,24
AFMGD6805H,GD,deep,#238b45,24
AFMGD6812H,GD,deep,#238b45,24
AFMGD6814H,GD,deep,#238b45,24
AFMGD6818H,GD,deep,#238b45,24
AFMGD6819H,GD,deep,#238b45,24
AFMGD6820H,GD,deep,#238b45,24
AFMGD6821H,GD,deep,#238b45,24
AFMGD6822H,GD,deep,#238b45,24
AFMGS6734H,GS,shallow,#bae4b3,24
AFMGS6735H,GS,shallow,#bae4b3,24
AFMGS6736H,GS,shallow,#bae4b3,24
AFMGS6737H,GS,shallow,#bae4b3,24
AFMGS6738H,GS,shallow,#bae4b3,24
AFMGS6739H,GS,shallow,#bae4b3,24
AFMGS6740H,GS,shallow,#bae4b3,24
AFMGS6743H,GS,shallow,#bae4b3,24
AFMGS6745H,GS,shallow,#bae4b3,24
AFMGS6747H,GS,shallow,#bae4b3,24
AFMGS6750H,GS,shallow,#bae4b3,24
AFMGS6751H,GS,shallow,#bae4b3,24
AFMGS6752H,GS,shallow,#bae4b3,24
AFMGS6755H,GS,shallow,#bae4b3,24
AFMGS6756H,GS,shallow,#bae4b3,24
AFMJD6855H,JD,deep,#238b45,23
AFMJD6856H,JD,deep,#238b45,23
AFMJD6857H,JD,deep,#238b45,23
AFMJD6858H,JD,deep,#238b45,23
AFMJD6859H,JD,deep,#238b45,23
AFMJD6861H,JD,deep,#238b45,23
AFMJD6864H,JD,deep,#238b45,23
AFMJD6873H,JD,deep,#238b45,23
AFMJD6875H,JD,deep,#238b45,23
AFMJD6876H,JD,deep,#238b45,23
AFMJD6877H,JD,deep,#238b45,23
AFMJD6878H,JD,deep,#238b45,23
AFMJS6675H,JS,shallow,#bae4b3,23
AFMJS6676H,JS,shallow,#bae4b3,23
AFMJS6678H,JS,shallow,#bae4b3,23
AFMJS6680H,JS,shallow,#bae4b3,23
AFMJS6681H,JS,shallow,#bae4b3,23
AFMJS6682H,JS,shallow,#bae4b3,23
AFMJS6683H,JS,shallow,#bae4b3,23
AFMJS6687H,JS,shallow,#bae4b3,23
AFMJS6694H,JS,shallow,#bae4b3,23
AFMJS6695H,JS,shallow,#bae4b3,23
AFMJS6696H,JS,shallow,#bae4b3,23
AFMJS6698H,JS,shallow,#bae4b3,23
AFMJS6700H,JS,shallow,#bae4b3,23
AFMJS6702H,JS,shallow,#bae4b3,23
AFMPD6983H,PD,deep,#238b45,25
AFMPD6985H,PD,deep,#238b45,25
AFMPD6986H,PD,deep,#238b45,25
AFMPD6987H,PD,deep,#238b45,25
AFMPD6988H,PD,deep,#238b45,25
AFMPD6989H,PD,deep,#238b45,25
AFMPD6990H,PD,deep,#238b45,25
AFMPD6991H,PD,deep,#238b45,25
AFMPD6992H,PD,deep,#238b45,25
AFMPD6993H,PD,deep,#238b45,25
AFMPD6995H,PD,deep,#238b45,25
AFMPD6998H,PD,deep,#238b45,25
AFMPD7000H,PD,deep,#238b45,25
AFMPD7001H,PD,deep,#238b45,25
AFMPD7005H,PD,deep,#238b45,25
AFMPD7006H,PD,deep,#238b45,25
AFMPS6602H,PS,shallow,#bae4b3,25
AFMPS6603H,PS,shallow,#bae4b3,25
AFMPS6608H,PS,shallow,#bae4b3,25
AFMPS6610H,PS,shallow,#bae4b3,25
AFMPS6612H,PS,shallow,#bae4b3,25
AFMPS6613H,PS,shallow,#bae4b3,25
AFMPS6618H,PS,shallow,#bae4b3,25
AFMPS6622H,PS,shallow,#bae4b3,25
AFMPS6623H,PS,shallow,#bae4b3,25
AFMPS6625H,PS,shallow,#bae4b3,25
AFMPS6626H,PS,shallow,#bae4b3,25
AFMPS6627H,PS,shallow,#bae4b3,25
AFMPX6982H,PD,deep,#238b45,25
AFMWD6915H,WD,deep,#74c476,22
AFMWD6916H,WD,deep,#74c476,22
AFMWD6917H,WD,deep,#74c476,22
AFMWD6918H,WD,deep,#74c476,22
AFMWD6919H,WD,deep,#74c476,22
AFMWD6920H,WD,deep,#74c476,22
AFMWD6921H,WD,deep,#74c476,22
AFMWD6922H,WD,deep,#74c476,22
AFMWD6923H,WD,deep,#74c476,22
AFMWD6924H,WD,deep,#74c476,22
AFMWD6926H,WD,deep,#74c476,22
AFMWD6933H,WD,deep,#74c476,22
AFMWD6935H,WD,deep,#74c476,22
AFMWD6936H,WD,deep,#74c476,22