sample,avg_cor_dens,avg_cor_diam,species,pop,depth,location
DC6602,6.6,1.466666667,afra,PS,shallow,Princess
DC6603,7,1.853333333,afra,PS,shallow,Princess
DC6606,7.6,1.533333333,afra,PS,shallow,Princess
DC6607,7.2,1.68,afra,PS,shallow,Princess
DC6608,8.6,1.633333333,afra,PS,shallow,Princess
DC6609,8.8,1.566666667,afra,PS,shallow,Princess
DC6610,10.4,1.46,afra,PS,shallow,Princess
DC6734,10.6,1.866666667,afra,GS,shallow,Gurnet
DC6735,9.4,1.44,afra,GS,shallow,Gurnet
DC6736T,6.6,1.613333333,afra,GS,shallow,Gurnet
DC6737,10.2,1.746666667,afra,GS,shallow,Gurnet
DC6738,13.8,1.986666667,afra,GS,shallow,Gurnet
DC6739,9,1.473333333,afra,GS,shallow,Gurnet
DC6740,7.8,1.78,afra,GS,shallow,Gurnet
DC6743,11.8,1.486666667,afra,GS,shallow,Gurnet
DC6799,8.2,1.52,afra,GD,deep,Gurnet
DC6801,11.6,1.533333333,afra,GD,deep,Gurnet
DC6802,10.2,1.48,afra,GD,deep,Gurnet
DC6803,10.6,1.346666667,afra,GD,deep,Gurnet
DC6804,10.2,1.126666667,afra,GD,deep,Gurnet
DC6805,6.4,1.393333333,afra,GD,deep,Gurnet
DC6808,8.4,1.686666667,afra,GD,deep,Gurnet
DC6854,12.4,1.473333333,afra,JD,deep,JohnSmith
DC6855,6.6,1.726666667,afra,JD,deep,JohnSmith
DC6856,9.4,1.633333333,afra,JD,deep,JohnSmith
DC6857,12,1.56,afra,JD,deep,JohnSmith
DC6858,7.8,1.586666667,afra,JD,deep,JohnSmith
DC6859,8.2,1.286666667,afra,JD,deep,JohnSmith
DC6861,12.6,1.56,afra,JD,deep,JohnSmith
DC6915,9.2,1.666666667,afra,WD,deep,WesternCut
DC6916,9,2.04,afra,WD,deep,WesternCut
DC6917,7.4,2.073333333,afra,WD,deep,WesternCut
DC6918,9.6,1.746666667,afra,WD,deep,WesternCut
DC6919,10.4,1.64,afra,WD,deep,WesternCut
DC6920,8.2,1.78,afra,WD,deep,WesternCut
DC6921,13.4,1.693333333,afra,WD,deep,WesternCut
DC6922,9.4,1.52,afra,WD,deep,WesternCut
DC6923,7.8,1.633333333,afra,WD,deep,WesternCut
DC6924,8.6,2,afra,WD,deep,WesternCut
DC6983,8.6,1.466666667,afra,PD,deep,Princess
DC6985,7.8,1.54,afra,PD,deep,Princess
DC6986,8,1.32,afra,PD,deep,Princess
DC6987,15.4,1.626666667,afra,PD,deep,Princess
DC6988,9.4,1.506666667,afra,PD,deep,Princess
DC6989,7.8,1.526666667,afra,PD,deep,Princess
DC6990,7.8,1.713333333,afra,PD,deep,Princess
DC6991,10,1.446666667,afra,PD,deep,Princess
DC6992,11.6,1.32,afra,PD,deep,Princess
DC6981,7.6,1.446666667,afra,PX,deep,Princess
DC6633,5.8,2.13125,sint,PS,shallow,Princess
DC6634,6.2,2.31875,sint,PS,shallow,Princess
DC6635,6,2.1,sint,PS,shallow,Princess
DC6638,4.8,2.05625,sint,PS,shallow,Princess
DC6639,7.6,2.05,sint,PS,shallow,Princess
DC6641,5.8,2.1625,sint,PS,shallow,Princess
DC6764,5.6,1.8,sint,GS,shallow,Gurnet
DC6765,7.2,2.3,sint,GS,shallow,Gurnet
DC6767,7,2.26875,sint,GS,shallow,Gurnet
DC6768,7.4,2.16875,sint,GS,shallow,Gurnet
DC6769,6.8,1.925,sint,GS,shallow,Gurnet
DC6771,7.4,2.3125,sint,GS,shallow,Gurnet
DC6773,8.8,1.99375,sint,GS,shallow,Gurnet
DC6824,5.6,2.4125,sint,GD,deep,Gurnet
DC6825,9.4,1.8125,sint,GD,deep,Gurnet
DC6826,8.8,1.825,sint,GD,deep,Gurnet
DC6827,7.4,1.7625,sint,GD,deep,Gurnet
DC6828,7.4,1.88125,sint,GD,deep,Gurnet
DC6829,8.6,1.9,sint,GD,deep,Gurnet
DC6831,7.2,1.9125,sint,GD,deep,Gurnet
DC6833,6,2.21875,sint,GD,deep,Gurnet
DC6884,7.6,2.2,sint,JD,deep,JohnSmith
DC6886,7.4,2.1625,sint,JD,deep,JohnSmith
DC6887,8,1.99375,sint,JD,deep,JohnSmith
DC6888,5.2,1.9875,sint,JD,deep,JohnSmith
DC6893,7.2,1.90625,sint,JD,deep,JohnSmith
DC6945,7.4,1.90625,sint,WD,deep,WesternCut
DC6946,5.6,2.05625,sint,WD,deep,WesternCut
DC6947,8,2.10625,sint,WD,deep,WesternCut
DC6948,8.2,1.99375,sint,WD,deep,WesternCut
DC6954,7.2,2.00625,sint,WD,deep,WesternCut
DC7015T,7.4,2.175,sint,PD,deep,Princess
DC7016,6.6,2.09375,sint,PD,deep,Princess
DC7018T,7.2,1.8875,sint,PD,deep,Princess
DC7019T,9.6,1.78125,sint,PD,deep,Princess
DC7021,8.6,2.01875,sint,PD,deep,Princess
DC7022T,8.4,2.01875,sint,PD,deep,Princess